CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6001442602,California,Alameda,4938,2467,2471,19.0,40.9,5.4,0.1,31.3,0.2,2785,86020.0,12926.0,39877.0,8356.0,15.2,20.8,40.0,21.2,25.7,5.2,8.0,67.2,15.1,8.9,1.0,0.4,7.4,28.8,2354,84.3,10.7,5.0,0.0,7.1
6001442700,California,Alameda,3275,1663,1612,19.3,43.6,0.8,0.0,32.3,0.0,2156,105395.0,29589.0,36266.0,3286.0,3.2,2.1,51.5,21.0,17.0,4.6,5.9,76.5,8.1,12.5,0.0,0.8,2.1,32.7,1543,82.0,16.5,1.6,0.0,3.0
6001442800,California,Alameda,3056,1582,1474,18.1,36.4,4.8,0.0,39.1,0.0,2020,94300.0,4038.0,32666.0,5035.0,9.7,13.5,35.5,20.3,20.9,11.2,12.1,80.7,8.0,6.9,0.0,0.6,3.7,30.8,1399,85.2,8.2,6.6,0.0,7.0
6001442900,California,Alameda,7670,3883,3787,17.8,32.8,4.3,0.2,34.9,4.6,5400,96875.0,14779.0,35658.0,4648.0,2.3,1.4,42.9,14.5,26.4,7.5,8.7,82.3,6.8,3.5,0.4,1.1,6.0,29.9,3901,86.3,9.0,4.6,0.0,3.4
6001443001,California,Alameda,2897,1563,1334,36.5,27.4,2.1,0.0,31.7,1.2,1738,91979.0,13402.0,28173.0,2443.0,2.2,2.9,36.5,13.1,31.6,6.9,11.8,72.8,13.7,4.3,0.1,5.4,3.7,25.1,1565,86.1,10.0,3.9,0.0,4.6
6001443002,California,Alameda,6294,3076,3218,22.7,28.2,1.0,0.1,46.2,0.0,3847,81000.0,5452.0,28821.0,2182.0,5.1,0.5,37.7,18.1,23.1,8.7,12.3,83.9,6.0,2.8,0.5,0.5,6.4,26.6,2976,85.2,6.1,8.7,0.0,8.4
6001443102,California,Alameda,4983,2518,2465,7.2,16.7,0.4,0.1,73.0,0.8,3155,158060.0,10242.0,54499.0,4993.0,2.3,3.0,75.8,6.9,12.8,2.5,1.9,82.9,5.1,5.5,0.5,0.0,6.0,28.4,2119,83.9,11.1,5.0,0.0,7.2
6001443103,California,Alameda,4116,1986,2130,0.8,8.9,2.4,0.3,83.9,0.0,2864,207460.0,23324.0,71422.0,10368.0,7.0,1.6,78.3,1.6,16.1,1.6,2.3,83.6,4.7,2.8,1.0,3.8,4.0,28.9,1748,93.5,2.9,3.7,0.0,8.0
6001443104,California,Alameda,5743,2964,2779,5.7,17.7,0.4,0.3,70.9,0.3,3105,126827.0,14800.0,44250.0,4748.0,4.9,3.8,74.1,3.9,14.3,3.0,4.6,71.0,14.3,8.3,0.6,1.4,4.4,30.6,2438,88.8,5.8,5.4,0.0,9.8
6001443105,California,Alameda,4452,2142,2310,0.0,17.5,0.7,0.2,77.4,0.8,2972,155268.0,23199.0,55560.0,5322.0,1.1,0.0,79.5,4.5,12.1,1.6,2.4,76.4,6.5,6.9,0.7,0.6,8.8,31.7,2105,81.2,7.9,10.5,0.4,7.2
6001443200,California,Alameda,3653,1848,1805,2.5,16.9,0.4,0.4,69.3,2.1,2549,185625.0,44404.0,67714.0,7926.0,5.9,3.3,69.9,6.0,19.1,1.1,4.0,77.7,12.7,3.8,0.0,0.6,5.2,25.8,1759,85.8,8.4,5.8,0.0,5.5
6001443301,California,Alameda,4114,1872,2242,6.1,23.9,3.1,0.3,60.9,0.0,2557,136250.0,18612.0,47108.0,5534.0,6.9,11.0,65.6,6.1,22.5,1.8,4.0,78.1,9.2,1.8,0.0,0.7,10.1,29.1,1940,85.3,10.2,4.5,0.0,6.5
6001443321,California,Alameda,3469,1648,1821,6.4,16.5,0.0,0.0,75.5,0.0,1417,106250.0,11181.0,41195.0,3955.0,3.6,2.5,66.0,13.7,10.9,5.5,3.9,78.1,13.7,0.9,4.1,0.6,2.7,26.9,1754,86.9,10.9,2.1,0.0,6.3
6001443322,California,Alameda,3372,1508,1864,3.6,22.4,0.6,1.0,67.7,1.1,1668,144659.0,15215.0,43026.0,3017.0,2.4,0.5,64.5,3.5,20.2,5.7,6.1,86.3,7.1,2.1,0.7,0.5,3.3,26.9,1464,85.9,9.8,4.2,0.0,4.0
6001444100,California,Alameda,7595,3607,3988,26.5,42.6,0.9,0.1,26.5,0.4,5683,91598.0,9426.0,37408.0,2941.0,4.3,3.8,46.0,13.9,17.1,8.1,14.9,77.2,9.9,5.4,1.4,0.6,5.6,26.7,3602,86.1,10.5,3.4,0.0,6.0
6001444200,California,Alameda,6790,3220,3570,45.1,22.1,4.7,0.0,23.2,2.2,4584,83684.0,8017.0,29205.0,2483.0,6.9,9.0,39.6,17.0,19.8,8.6,15.0,86.0,7.1,1.6,1.6,1.9,1.8,27.1,3457,84.6,8.1,7.3,0.0,4.7
6001444301,California,Alameda,3984,2078,1906,29.8,33.4,1.8,0.4,29.0,2.4,2654,90294.0,13273.0,35087.0,4161.0,5.3,11.3,40.7,9.9,19.4,12.2,17.9,78.1,11.3,3.6,2.6,0.5,3.9,28.7,1915,76.8,15.2,7.2,0.9,5.5
6001444302,California,Alameda,4610,2281,2329,56.5,17.4,1.9,0.5,20.8,0.0,2358,72924.0,13442.0,25216.0,3448.0,18.9,34.0,28.3,14.9,20.9,14.8,21.1,64.3,24.3,3.0,0.0,2.9,5.5,29.5,2254,89.6,6.5,3.5,0.4,6.1
6001444400,California,Alameda,4902,2543,2359,49.9,22.0,4.3,0.0,20.9,0.0,3419,78922.0,11242.0,28271.0,3763.0,8.1,10.6,31.7,15.2,27.6,14.5,11.0,77.2,11.5,5.2,2.2,2.7,1.2,29.2,2689,84.3,9.1,6.5,0.0,7.6
6001444500,California,Alameda,6948,3764,3184,37.8,20.2,8.1,0.0,32.0,0.1,4517,85379.0,9407.0,30282.0,3404.0,10.8,17.8,35.6,15.3,24.5,12.2,12.4,75.9,8.1,9.1,0.5,0.9,5.4,30.7,3572,85.8,10.7,3.5,0.0,6.4
6001444601,California,Alameda,5037,2649,2388,17.9,41.3,6.5,1.1,29.1,1.0,3694,100165.0,14456.0,30987.0,3144.0,5.9,6.3,38.5,8.6,23.2,4.8,25.0,75.1,14.8,3.4,2.1,1.7,2.9,25.8,2231,87.5,7.7,4.8,0.0,9.9
6001444602,California,Alameda,4341,2138,2203,12.0,22.3,6.3,0.3,52.9,0.0,2817,103476.0,8778.0,41661.0,5701.0,3.8,0.0,50.3,12.8,24.4,5.3,7.3,76.8,15.4,4.3,0.2,0.0,3.3,31.7,2426,85.7,6.9,6.7,0.7,5.5
6001450101,California,Alameda,4761,2275,2486,5.6,32.0,7.9,0.1,43.9,0.4,2590,125238.0,13232.0,54994.0,5505.0,5.3,10.9,69.4,6.3,19.3,1.5,3.5,66.8,6.1,18.4,1.6,1.7,5.4,42.0,2777,84.9,13.5,1.6,0.0,2.8
6001450102,California,Alameda,7465,4163,3302,25.1,21.8,18.0,1.6,24.0,0.7,5266,137543.0,12596.0,29204.0,2885.0,2.8,0.0,60.0,15.9,19.3,2.5,2.3,65.7,8.1,12.4,7.8,3.1,2.9,31.4,2068,81.4,12.5,6.0,0.0,2.6
6001450200,California,Alameda,5103,2310,2793,10.1,54.6,4.2,0.0,25.3,0.2,3337,94844.0,14456.0,51763.0,8630.0,3.8,7.7,64.9,7.5,19.1,3.8,4.7,75.6,7.4,9.8,0.0,2.1,5.1,33.5,3161,81.3,11.9,6.8,0.0,4.4
6001450300,California,Alameda,5118,2430,2688,14.9,53.7,4.9,0.2,22.4,0.0,3632,102750.0,11094.0,38559.0,2926.0,5.7,9.9,51.1,13.2,24.0,5.2,6.4,80.1,7.7,4.9,1.0,1.8,4.5,29.6,2786,82.0,11.0,5.7,1.2,4.6
6001450400,California,Alameda,6025,3209,2816,14.3,56.5,1.1,0.5,26.8,0.0,3871,85870.0,19287.0,34596.0,4353.0,4.0,2.7,37.4,24.1,24.2,8.8,5.5,80.3,7.1,3.7,1.7,1.0,6.3,23.9,3083,82.6,9.3,6.9,1.2,8.1
6001450501,California,Alameda,3496,1748,1748,11.8,62.6,4.3,0.0,18.9,0.0,2451,120089.0,19086.0,45604.0,4722.0,4.2,5.8,52.4,19.0,24.9,1.6,2.1,71.7,4.5,8.1,2.4,2.3,11.1,26.4,1972,79.5,11.5,9.0,0.0,4.1
6001450502,California,Alameda,5176,2491,2685,8.3,63.1,1.7,0.3,18.9,0.0,3638,142037.0,13251.0,59796.0,9023.0,1.8,2.1,63.1,7.0,20.4,4.5,5.0,74.7,8.1,9.9,0.8,0.4,6.1,35.2,2643,77.2,16.4,6.4,0.0,6.9
6001450601,California,Alameda,3548,1740,1808,4.1,61.9,4.4,0.0,27.0,0.1,2578,121319.0,26228.0,67587.0,10716.0,6.5,7.6,64.4,13.6,17.8,3.4,0.9,70.0,11.6,8.0,1.1,1.8,7.5,35.2,1759,79.4,8.5,12.1,0.0,4.7
6001450602,California,Alameda,9625,4366,5259,9.4,58.8,2.6,0.0,26.4,0.7,6173,133784.0,10098.0,54837.0,6604.0,4.6,6.6,63.0,9.9,23.3,1.8,2.0,74.2,6.7,7.7,2.5,0.8,8.2,32.3,4127,77.8,13.4,7.9,0.9,6.0
6001450603,California,Alameda,4888,2601,2287,9.6,62.4,0.4,0.3,24.1,0.0,3260,119625.0,11463.0,43265.0,3890.0,2.3,1.9,52.9,14.1,20.6,6.9,5.4,82.2,6.1,5.2,0.7,1.3,4.6,30.6,2434,77.4,12.6,9.7,0.4,6.5
6001450604,California,Alameda,5088,2445,2643,10.3,68.8,0.2,0.1,18.2,0.0,3481,125313.0,19360.0,48452.0,3332.0,4.4,5.3,52.2,15.6,23.7,3.9,4.6,72.2,9.8,6.2,3.5,0.9,7.4,25.6,2538,81.3,13.8,4.9,0.0,4.2
6001450605,California,Alameda,3982,1926,2056,10.4,62.7,1.3,0.0,20.3,0.0,2549,122198.0,8965.0,51658.0,7103.0,4.3,2.4,62.9,7.8,21.3,6.4,1.5,67.9,10.0,11.9,1.1,2.8,6.4,34.6,1819,80.3,12.8,7.0,0.0,6.3
