School,City,Region,Applied,Admitted,Enrolled
RANCHO CAMPANA HIGH SCHOOL,Camarillo,Ventura,57,33,17
RANCHO COTATE HIGH SCHOOL,Rohnert Park,Sonoma,26,15,10
RANCHO CUCAMONGA HIGH SCHOOL,Rancho Cucamonga,San Bernardino,195,112,69
RANCHO DOMINGUEZ PREP SCHOOL,Long Beach,Los Angeles,40,23,9
RANCHO MIRAGE HIGH SCHOOL,Rancho Mirage,Riverside,46,31,17
RANCHO VERDE HIGH SCHOOL,Moreno Valley,Riverside,161,91,52
RAOUL WALLENBERG TRADITIONAL,San Francisco,San Francisco,80,51,33
REALM CHARTER HIGH SCHOOL,Berkeley,Alameda,17,10,6
RED BLUFF HIGH SCHOOL,Red Bluff,Tehama,20,16,10
REDLANDS EACADEMY,Redlands,San Bernardino,,,
REDLANDS EAST VALLEY HS,Redlands,San Bernardino,100,68,40
REDLANDS HIGH SCHOOL,Redlands,San Bernardino,155,116,79
REDONDO UNION HIGH SCHOOL,Redondo Beach,Los Angeles,170,106,62
REDWOOD COLLEGIATE ACADEMY,Ukiah,Mendocino,7,6,3
REDWOOD HIGH SCHOOL,Larkspur,Marin,228,126,65
REDWOOD HIGH SCHOOL,Redwood City,San Mateo,,,
REDWOOD HIGH SCHOOL,Visalia,Tulare,81,57,33
REEDLEY HIGH SCHOOL,Reedley,Fresno,59,37,12
REEDLEY MIDDLE COLLEGE HS,Reedley,Fresno,15,8,4
RENAISSANCE ARTS ACADEMY,Los Angeles,Los Angeles,34,24,17
RENAISSANCE CAREER ACADEMY,Long Beach,Los Angeles,,,
RENAISSANCE HIGH SCHOOL ARTS,Long Beach,Los Angeles,13,7,
RESEDA HIGH SCHOOL,Reseda,Los Angeles,67,32,13
RIALTO HIGH SCHOOL,Rialto,San Bernardino,138,71,44
RICHMOND HIGH SCHOOL,Richmond,Contra Costa,96,56,31
RIDGEVIEW HIGH SCHOOL,Bakersfield,Kern,84,47,19
RIM OF THE WORLD HIGH SCHOOL,Lake Arrowhead,San Bernardino,40,23,14
RIO AMERICANO HIGH SCHOOL,Sacramento,Sacramento,76,48,27
RIO LINDA SENIOR HIGH SCHOOL,Rio Linda,Sacramento,50,31,16
RIO MESA HIGH SCHOOL,Oxnard,Ventura,86,49,21
RIO VALLEY CHARTER SCHOOL,Lodi,San Joaquin,,,
RIO VISTA HIGH SCHOOL,Rio Vista,Solano,22,14,8
RIPON HIGH SCHOOL,Ripon,San Joaquin,18,16,11
RISE HIGH,Hawthorne,Los Angeles,,,
RIVER CITY HIGH SCHOOL,West Sacramento,Yolo,74,42,21
RIVER SPRINGS CHARTER SCHOOL,Temecula,Riverside,10,7,5
RIVER VALLEY CHARTER SCHOOL,Lakeside,San Diego,14,10,6
RIVER VALLEY HIGH SCHOOL,Yuba City,Sutter,59,44,25
RIVERBANK HIGH SCHOOL,Riverbank,Stanislaus,20,14,9
RIVERDALE HIGH SCHOOL,Riverdale,Fresno,19,15,8
RIVERSIDE POLY HIGH SCHOOL,Riverside,Riverside,121,65,38
RIVERSIDE PREPARATORY,Oro Grande,San Bernardino,14,8,7
RIVERSIDE STEM ACADEMY,Riverside,Riverside,36,24,10
RIVERSIDE VIRTUAL SCHOOL,Riverside,Riverside,,,
ROBERT A MILLIKAN HIGH SCHOOL,Long Beach,Los Angeles,204,115,52
ROBERT F KENNEDY HIGH SCHOOL,Delano,Kern,51,29,18
ROBERT FULTON COLLEGE PREP SCH,Van Nuys,Los Angeles,26,14,7
ROBERTO CRUZ LEADERSHIP ACDMY,San Jose,Santa Clara,17,6,
ROCKLIN HIGH SCHOOL,Rocklin,Placer,125,83,47
RONALD E MCNAIR HIGH SCHOOL,Stockton,San Joaquin,61,41,17
ROSAMOND HIGH SCHOOL,Rosamond,Kern,11,7,5
ROSELAND COLLEGIATE PREP,Santa Rosa,Sonoma,12,6,4
ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma,29,24,16
ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,143,91,52
ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,48,36,23
ROSEVILLE HIGH SCHOOL,Roseville,Placer,61,45,28
ROUND VALLEY HIGH SCHOOL,Covelo,Mendocino,,,
ROYAL HIGH SCHOOL,Simi Valley,Ventura,60,41,18
RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,294,214,135
RUBIDOUX HIGH SCHOOL,Jurupa Valley,Riverside,77,35,21
RUTH ASAWA SCHOOL OF THE ARTS,San Francisco,San Francisco,76,62,40
SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,63,47,16
SACRAMENTO NEW TECHNOLOGY HS,Sacramento,Sacramento,9,5,
SADDLEBACK HIGH SCHOOL,Santa Ana,Orange,89,54,25
SAGE CREEK HIGH SCHOOL,Carlsbad,San Diego,134,83,48
SAGE OAK CHARTER,Redlands,San Bernardino,,,
SAINT HELENA HIGH SCHOOL,Saint Helena,Napa,35,17,12
SALINAS ADULT SCHOOL,Salinas,Monterey,,,
SALINAS HIGH SCHOOL,Salinas,Monterey,85,53,28
SAMUELI ACADEMY,Santa Ana,Orange,34,18,9
SAN BERNARDINO HIGH SCHOOL,San Bernardino,San Bernardino,60,41,8
SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange,209,119,51
SAN DIEGO BUSINESS LEADERSHIP,San Diego,San Diego,15,6,
SAN DIEGO HIGH SCHOOL EDUCATIO,San Diego,San Diego,12,4,
SAN DIEGO HIGH SCHOOL,San Diego,San Diego,44,27,12
SAN DIEGO INTL STUDIES,San Diego,San Diego,149,98,47
SAN DIEGO MET,San Diego,San Diego,9,6,3
SAN DIEGO SCHL CREATE/PERFORM,San Diego,San Diego,60,34,17
SAN DIEGO VIRTUAL SCHOOL,San Diego,San Diego,,,
SAN DIEGO WORKFORCE INNOVATION,National City,San Diego,,,
SAN DIEGUITO ACADEMY,Encinitas,San Diego,212,130,63
SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles,67,43,25
SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles,116,62,31
SAN FRANCISCO INTERNATIONAL HS,San Francisco,San Francisco,26,14,9
SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles,185,146,92
SAN GORGONIO HIGH SCHOOL,San Bernardino,San Bernardino,93,63,28
SAN JACINTO HIGH SCHOOL,San Jacinto,Riverside,136,66,35
SAN JACINTO VALLEY ACADEMY,San Jacinto,Riverside,29,13,6
SAN JOAQUIN HIGH SCHOOL,Irvine,Orange,,,
SAN JOSE HIGH SCHOOL,San Jose,Santa Clara,43,30,15
SAN JUAN HIGH SCHOOL,Citrus Heights,Sacramento,11,7,
SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,159,92,53
SAN LEANDRO ADULT HIGH SCHOOL,San Leandro,Alameda,,,
SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,155,85,47
SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda,61,38,27
SAN LORENZO VALLEY HIGH SCHOOL,Felton,Santa Cruz,15,11,5
SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo,109,72,29
SAN MARCOS HIGH SCHOOL,San Marcos,San Diego,242,141,75
SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara,170,97,53
SAN MARIN HIGH SCHOOL,Novato,Marin,85,58,36
SAN MARINO HIGH SCHOOL,San Marino,Los Angeles,183,129,45
SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,157,98,44
SAN PASQUAL HIGH SCHOOL,Escondido,San Diego,123,71,36
SAN PASQUAL VALLEY HIGH SCHOOL,Winterhaven,Imperial,,,
SAN PEDRO HIGH SCHOOL,San Pedro,Los Angeles,90,46,26
SAN RAFAEL HIGH SCHOOL,San Rafael,Marin,89,49,26
SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,167,96,41
SAN YSIDRO HIGH SCHOOL,San Diego,San Diego,128,55,24
SANGER HIGH SCHOOL,Sanger,Fresno,90,58,24
SANTA ANA HIGH SCHOOL,Santa Ana,Orange,135,68,33
SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara,153,88,34
SANTA CLARA HIGH SCHOOL,Santa Clara,Santa Clara,114,72,40
SANTA CLARITA VALLEY INTERNATI,Castaic,Los Angeles,10,4,3
SANTA CRUZ ALTERNATIVE,Santa Cruz,Santa Cruz,7,4,3
SANTA CRUZ HIGH SCHOOL,Santa Cruz,Santa Cruz,63,46,20
SANTA FE HIGH SCHOOL,Santa Fe Springs,Los Angeles,122,60,26
SANTA MARIA HIGH SCHOOL,Santa Maria,Santa Barbara,110,57,21
SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles,332,225,123
SANTA PAULA HIGH SCHOOL,Santa Paula,Ventura,120,66,24
SANTA ROSA ACADEMY,Menifee,Riverside,16,11,6
SANTA ROSA HIGH SCHOOL,Santa Rosa,Sonoma,76,50,26
SANTA SUSANA HIGH SCHOOL,Simi Valley,Ventura,57,36,25
SANTA TERESA HIGH SCHOOL,San Jose,Santa Clara,121,68,43
SANTA YNEZ VALLEY UNION HS,Solvang,Santa Barbara,45,23,6
SANTANA HIGH SCHOOL,Santee,San Diego,30,17,13
SANTEE EDUCATION COMPLEX,Los Angeles,Los Angeles,157,73,26
SANTIAGO HIGH SCHOOL,Corona,Riverside,260,179,105
SANTIAGO HIGH SCHOOL,Garden Grove,Orange,122,66,38
SARATOGA HIGH SCHOOL,Saratoga,Santa Clara,227,156,56
SATO ACADEMY OF MATH & SCIENCE,Long Beach,Los Angeles,56,37,19
SAUGUS HIGH SCHOOL,Saugus,Los Angeles,91,50,26
SAVANNA HIGH SCHOOL,Anaheim,Orange,82,43,23
SCALE LEADERSHIP ACADEMY,Chino,San Bernardino,,,
SCH ENGINEERING & SCIENCES,Sacramento,Sacramento,17,12,6
SCH SOCIAL JUSTICE-CONT LEARN CTR,Los Angeles,Los Angeles,17,5,3
SCHL ENTREPRENEURSHIP & TECH,San Diego,San Diego,10,8,6
SCHOOL OF ARTS AND ENTERPRISE,Pomona,Los Angeles,16,10,5
SCHOOL OF EXTENDED EDU OPTIONS,Pomona,Los Angeles,,,
SCHOOL VISUAL ARTS HUMANITIES,Los Angeles,Los Angeles,34,10,5
SCHURR HIGH SCHOOL,Montebello,Los Angeles,102,78,43
SCOTTS VALLEY HIGH SCHOOL,Scotts Valley,Santa Cruz,76,45,19
SCRIPPS RANCH HIGH,San Diego,San Diego,267,171,93
SEASIDE HIGH SCHOOL,Seaside,Monterey,49,24,10
SEGERSTROM HIGH SCHOOL,Santa Ana,Orange,133,96,51
SELMA HIGH SCHOOL,Selma,Fresno,51,37,16
SEQUOIA HIGH SCHOOL,Redwood City,San Mateo,141,94,43
SERRANO HIGH SCHOOL,Phelan,San Bernardino,63,39,19
SHADOW HILLS HIGH SCHOOL,Indio,Riverside,92,51,29
SHAFTER HIGH SCHOOL,Shafter,Kern,40,27,6
SHANDON HIGH SCHOOL,Shandon,San Luis Obispo,,,
SHASTA CHARTER ACADEMY,Redding,Shasta,,,
SHASTA HIGH SCHOOL,Redding,Shasta,43,30,11
SHELDON HIGH SCHOOL,Sacramento,Sacramento,103,63,35
SHERMAN E BURROUGHS HS,Ridgecrest,Kern,38,25,9
SHERMAN OAKS CTR ENRCHED STDS,Reseda,Los Angeles,98,66,39
SIATECH ACADEMY SOUTH,Los Angeles,Los Angeles,,,
SIERRA ACADEMY EXPEDITION LRNG,Nevada City,Nevada,,,
SIERRA HIGH SCHOOL,Azusa,Los Angeles,,,
SIERRA HIGH SCHOOL,Manteca,San Joaquin,43,35,19
SIERRA HIGH SCHOOL,Tollhouse,Fresno,9,4,
SIERRA PACIFIC HIGH SCHOOL,Hanford,Kings,22,13,7
SIERRA VISTA HIGH SCHOOL,Baldwin Park,Los Angeles,86,58,20
SILVER CREEK HIGH SCHOOL,San Jose,Santa Clara,196,124,63
SILVER VALLEY HIGH SCHOOL,Yermo,San Bernardino,7,5,4
SILVERADO HIGH SCHOOL,Victorville,San Bernardino,71,38,16
SIMI VALLEY HIGH SCHOOL,Simi Valley,Ventura,84,49,24
SKY MOUNTAIN CHARTER SCHOOL,Placerville,El Dorado,5,4,
SKYLINE EVENING HIGH,Oakland,Alameda,,,
SKYLINE HIGH SCHOOL,Oakland,Alameda,125,67,45
SLVUSD CHARTER SCHOOL,Ben Lomond,Santa Cruz,,,
SOAR HIGH SCHOOL,Lancaster,Los Angeles,57,42,22
SOCIAL JUSTICE HUMANITAS ACAD,San Fernando,Los Angeles,41,14,9
SOCIAL JUSTICE LDRSHP @ TORRES,Los Angeles,Los Angeles,19,11,6
SOJOURNER TRUTH ACADEMY,Oakland,Alameda,,,
SOLEDAD HIGH SCHOOL,Soledad,Monterey,56,32,20
SONIA SOTOMAYOR ARTS SCI ACAD,Los Angeles,Los Angeles,24,12,5
SONOMA VALLEY HIGH SCHOOL,Sonoma,Sonoma,65,31,18
SONORA HIGH SCHOOL,La Habra,Orange,94,63,35
SONORA HIGH SCHOOL,Sonora,Tuolumne,25,16,7
SOQUEL HIGH SCHOOL,Soquel,Santa Cruz,70,43,24
SOUTH EAST HIGH SCHOOL,South Gate,Los Angeles,106,71,36
SOUTH EL MONTE HIGH SCHOOL,South El Monte,Los Angeles,72,35,17
SOUTH FORK HIGH SCHOOL,Miranda,Humboldt,8,7,4
SOUTH GATE HIGH SCHOOL,South Gate,Los Angeles,159,122,55
SOUTH HIGH SCHOOL,Bakersfield,Kern,67,48,23
SOUTH HIGH SCHOOL,Torrance,Los Angeles,213,130,73
SOUTH HILLS HIGH SCHOOL,West Covina,Los Angeles,89,54,26
SOUTH PASADENA HIGH SCHOOL,South Pasadena,Los Angeles,211,138,68
SOUTH SAN FRANCISCO HS,South San Francisco,San Mateo,52,31,14
SOUTH SUTTER CHARTER SCHOOL,Nicolaus,Sutter,,,
SOUTH TAHOE HIGH SCHOOL,South Lake Tahoe,El Dorado,24,16,10
SOUTHEAST ACADEMY HIGH SCHOOL,Norwalk,Los Angeles,,,
SOUTHWEST HIGH SCHOOL,El Centro,Imperial,77,44,27
SOUTHWEST HIGH SCHOOL,San Diego,San Diego,86,56,28
STEAM LEGACY HIGH SCHOOL CMPLX,South Gate,Los Angeles,58,47,24
STEELE CANYON HIGH SCHOOL,Spring Valley,San Diego,112,62,34
STELLA HIGH CHARTER ACADEMY,Los Angeles,Los Angeles,39,31,23
STELLAR SECONDARY CHARTER HS,Redding,Shasta,,,
STEM ACADEMY OF BOYLE HEIGHTS,Los Angeles,Los Angeles,6,,
STEM ACADEMY OF HOLLYWOOD,Hollywood,Los Angeles,55,36,19
STOCKDALE HIGH SCHOOL,Bakersfield,Kern,143,93,53
STOCKTON COLLEGIATE INTERNATIO,Stockton,San Joaquin,21,8,5
STOCKTON EARLY COLLEGE ACADEMY,Stockton,San Joaquin,72,52,26
STRATHMORE HIGH SCHOOL,Porterville,Tulare,6,4,
SULTANA HIGH SCHOOL,Hesperia,San Bernardino,43,18,8
SUMMERVILLE UNION HIGH SCHOOL,Tuolumne,Tuolumne,8,7,3
SUMMIT CHARTER COLLEGIATE ACAD,Porterville,Tulare,10,9,7
SUMMIT HIGH SCHOOL,Fontana,San Bernardino,96,59,37
SUMMIT LEADERSHIP ACADEMY,Hesperia,San Bernardino,,,
SUMMIT PREPARATORY CHARTER HIG,Redwood City,San Mateo,48,37,15
SUMMIT PUBLIC SCHOOL-RAINIER,San Jose,Santa Clara,54,38,26
SUMMIT PUBLIC SCHOOL-TAHOMA,San Jose,Santa Clara,41,28,19
SUMMIT PUBLIC SCHOOLS SHASTA,Daly City,San Mateo,50,33,23
SUN VALLEY HIGH SCHOOL,Sun Valley,Los Angeles,27,8,
SUN VALLEY MAGNET SCHOOL,Sun Valley,Los Angeles,22,11,6
SUNNY HILLS HIGH SCHOOL,Fullerton,Orange,226,148,61
SUNNYSIDE HIGH SCHOOL,Fresno,Fresno,119,76,23
SUNSET HIGH SCHOOL,Encinitas,San Diego,,,
SUSAN H. NELSON HIGH SCHOOL,Temecula,Riverside,,,
SUSAN MILLER DORSEY HIGH SCHL,Los Angeles,Los Angeles,37,12,
SUTTER HIGH SCHOOL,Sutter,Sutter,17,11,5
SWEETWATER SECONDARY SCHOOL,Chula Vista,San Diego,,,
SWEETWATER UNION HIGH SCHOOL,National City,San Diego,89,59,37
SYLMAR BIOTECH HLTH & ENG MGNT,Sylmar,Los Angeles,,,
SYLMAR HIGH SCHOOL,Sylmar,Los Angeles,114,54,27
SYLVESTER GREENWOOD ACADEMY,Richmond,Contra Costa,,,
SYNERGY QUANTUM ACADEMY,Los Angeles,Los Angeles,41,24,12
TAFT UNION HIGH SCHOOL,Taft,Kern,10,7,5
TAHOE TRUCKEE HIGH SCHOOL,Truckee,Placer,47,28,11
TAHQUITZ HIGH SCHOOL,Hemet,Riverside,62,30,18
TAMALPAIS ADULT EVENING HIGH SCHOOL,Mill Valley,Marin,,,
TAMALPAIS HIGH SCHOOL,Mill Valley,Marin,195,117,57
TAMISCAL HIGH SCHOOL,Larkspur,Marin,10,4,
TEACH TECH CHARTER HIGH SCHOOL,Los Angeles,Los Angeles,25,9,5
TECHNOLOGY HIGH SCHOOL,Rohnert Park,Sonoma,26,9,4
TECHNOLOGY PREPARATORY ACADEMY,San Fernando,Los Angeles,11,,
TEHACHAPI HIGH SCHOOL,Tehachapi,Kern,21,19,10
TEMECULA PREPARATORY SCHOOL,Winchester,Riverside,28,15,8
TEMECULA VALLEY HIGH SCHOOL,Temecula,Riverside,145,94,53
TEMESCAL CANYON HIGH SCHOOL,Lake Elsinore,Riverside,90,51,29
TEMPLE CITY HIGH SCHOOL,Temple City,Los Angeles,232,172,101
TEMPLETON HIGH SCHOOL,Templeton,San Luis Obispo,30,18,7
TEMPLETON INDEPENDENT STUDY HS,Templeton,San Luis Obispo,,,
TENNYSON HIGH SCHOOL,Hayward,Alameda,33,23,14
TERRA LINDA HIGH SCHOOL,San Rafael,Marin,90,67,30
TERRA NOVA HIGH SCHOOL,Pacifica,San Mateo,37,27,16
TESORO HIGH SCHOOL,Rancho San Margarit,Orange,187,107,56
THEODORE ROOSEVELT HIGH SCHOOL,Fresno,Fresno,44,31,6
THEODORE ROOSEVELT SENIOR HIGH,Los Angeles,Los Angeles,58,29,15
THOMAS DOWNEY HIGH SCHOOL,Modesto,Stanislaus,36,27,11
THOMAS JEFFERSON HIGH SCHOOL,Los Angeles,Los Angeles,40,16,8
THOUSAND OAKS HIGH SCHOOL,Thousand Oaks,Ventura,125,79,41
THURGOOD MARSHALL ACADEMIC HS,San Francisco,San Francisco,17,10,8
TOKAY HIGH SCHOOL,Lodi,San Joaquin,45,32,12
TOMALES HIGH SCHOOL,Tomales,Marin,12,5,
TORRANCE HIGH SCHOOL,Torrance,Los Angeles,145,85,52
TORREY PINES HIGH SCHOOL,San Diego,San Diego,335,208,121
TRABUCO HILLS HIGH SCHOOL,Mission Viejo,Orange,134,67,40
TRACY ADULT SCHOOL,Tracy,San Joaquin,,,
TRACY JOINT UNION HIGH SCHOOL,Tracy,San Joaquin,74,47,26
TRANQUILLITY HIGH SCHOOL,Tranquillity,Fresno,14,7,4
TRINITY HIGH SCHOOL,Weaverville,Trinity,,,
TROY HIGH SCHOOL,Fullerton,Orange,366,268,140
TULARE UNION HIGH SCHOOL,Tulare,Tulare,37,25,12
TULARE WESTERN HIGH SCHOOL,Tulare,Tulare,50,32,12
TULELAKE HIGH SCHOOL,Tulelake,Siskiyou,,,
TURLOCK HIGH SCHOOL,Turlock,Stanislaus,54,42,21
TUSTIN HIGH SCHOOL,Tustin,Orange,159,95,28
TWENTYNINE PALMS HIGH SCHOOL,Twentynine Palms,San Bernardino,17,11,8
UCLA COMMUNITY SCHOOL,Los Angeles,Los Angeles,36,29,15
UKIAH HIGH SCHOOL,Ukiah,Mendocino,41,24,17
UKIAH INDEPENDENT STUDY ACDMY,Ukiah,Mendocino,,,
ULYSSES S GRANT HIGH SCHOOL,Van Nuys,Los Angeles,84,51,26
UMOJA INTERNATIONAL ACADEMY,Sacramento,Sacramento,,,
UNION MINE HIGH SCHOOL,El Dorado,El Dorado,21,16,8
UNIVERSITY CITY HIGH,San Diego,San Diego,181,124,80
UNIVERSITY HIGH SCHOOL,Fresno,Fresno,77,52,31
UNIVERSITY HIGH SCHOOL,Los Angeles,Los Angeles,109,62,36
UNIVERSITY HIGH SCHOOL,Irvine,Orange,372,273,139
UNIVERSITY PREP ACADEMY,San Jose,Santa Clara,70,54,27
UNIVERSITY PREP VALUE HS,Los Angeles,Los Angeles,65,27,15
UNIVERSITY PREPARATORY SCHOOL,Redding,Shasta,47,35,17
UNIVERSITY PREPARATORY,Victorville,San Bernardino,122,70,35
UNIVERSITY PREPARTORY HIGH SCH,Visalia,Tulare,20,15,12
UPLAND HIGH SCHOOL,Upland,San Bernardino,170,85,44
UPLIFT CALIF SANTA BARBARA,Ontario,San Bernardino,,,
UPLIFT MONTEREY,Ontario,San Bernardino,,,
UPPER LAKE HIGH SCHOOL,Upper Lake,Lake,7,5,3
USC HYBRID HIGH COLLEGE PREP,Los Angeles,Los Angeles,64,56,28
USC MEDIA & ENGINEERING MAGNET SCH,Los Angeles,Los Angeles,29,17,10
VACAVILLE HIGH SCHOOL,Vacaville,Solano,52,30,23
VAL VERDE ACADEMY,Perris,Riverside,,,
VALENCIA HIGH SCHOOL,Placentia,Orange,188,137,82
VALENCIA HIGH SCHOOL,Valencia,Los Angeles,144,84,45
VALHALLA HIGH SCHOOL,El Cajon,San Diego,88,47,26
VALIANT ACADEMY OF LOS ANGELES,Ontario,San Bernardino,,,
VALIANT ACADEMY SOUTHERN CAL,Ontario,San Bernardino,,,
VALLEJO HIGH SCHOOL,Vallejo,Solano,27,17,8
VALLEY ACADEMY ARTS & SCIENCES,Granada Hills,Los Angeles,42,24,14
VALLEY CENTER HIGH SCHOOL,Valley Center,San Diego,50,25,14
VALLEY COLLEGE HIGH SCHOOL,Modesto,Stanislaus,,,
VALLEY HIGH SCHOOL,Sacramento,Sacramento,53,40,18
VALLEY HIGH SCHOOL,Santa Ana,Orange,135,83,48
VALLEY INTERNATIONAL PREP HS,Northridge,Los Angeles,23,8,
VALLEY OAKS CHARTER SCHOOL,Bakersfield,Kern,,,
VALLEY OAKS SCHOOL,Petaluma,Sonoma,,,
VALLEY VIEW CHARTER PREP,Tracy,San Joaquin,,,
VALLEY VIEW HIGH SCHOOL,Moreno Valley,Riverside,133,72,47
VALOR ACADEMY HIGH SCHOOL,North Hills,Los Angeles,32,21,12
VAN NUYS HIGH SCHOOL,Van Nuys,Los Angeles,179,118,77
VANDEN HIGH SCHOOL,Fairfield,Solano,72,34,23
VASQUEZ HIGH SCHOOL,Acton,Los Angeles,6,4,
VAUGHN NEXT CENTURY LEARN CTR,San Fernando,Los Angeles,45,18,9
VENICE HIGH SCHOOL,Los Angeles,Los Angeles,140,89,57
VENTURA HIGH SCHOOL,Ventura,Ventura,87,57,29
VENTURE ACADEMY,Stockton,San Joaquin,16,10,3
VENTURE SCHOOL,San Ramon,Contra Costa,,,
VERDUGO ACADEMY,La Crescenta,Los Angeles,,,
VERDUGO HILLS HIGH SCHOOL,Tujunga,Los Angeles,61,39,23
VICTOR VALLEY HIGH SCHOOL,Victorville,San Bernardino,69,36,13
VIEW PARK PREP ACCEL CHARTER HS,Los Angeles,Los Angeles,38,13,7
VILLA PARK HIGH SCHOOL,Villa Park,Orange,140,88,51
VILLAGE ACADEMY HIGH SCHOOL,Pomona,Los Angeles,15,5,
VINEYARD ALTERNATIVE SCHOOL,Livermore,Alameda,,,
VINTAGE HIGH SCHOOL,Napa,Napa,84,43,23
VISALIA CHARTER INDPT STUDY,Visalia,Tulare,,,
VISALIA TECHNICAL EDU CENTER,Visalia,Tulare,,,
VISIONS IN EDUCATION,Carmichael,Sacramento,19,11,7
VISTA DEL LAGO HIGH SCHOOL,Moreno Valley,Riverside,111,66,41
VISTA DEL LAGO HIGH SCHOOL,Folsom,Sacramento,131,84,43
VISTA HIGH SCHOOL,Richmond,Contra Costa,,,
VISTA HIGH SCHOOL,Vista,San Diego,58,36,16
VISTA MURRIETA HIGH SCHOOL,Murrieta,Riverside,165,94,64
VISTA OAKS CHARTER SCHOOL,Lodi,San Joaquin,,,
VISTA REAL CHARTER HIGH SCHOOL,Oxnard,Ventura,,,
W C OVERFELT HIGH SCHOOL,San Jose,Santa Clara,64,34,14
WALLIS ANNENBERG HIGH SCHOOL,Los Angeles,Los Angeles,48,14,7
WALNUT HIGH SCHOOL,Walnut,Los Angeles,357,276,161
WALNUTWOOD HIGH SCHOOL,Rancho Cordova,Sacramento,,,
WARNER HIGH SCHOOL,Warner Springs,San Diego,,,
WARREN HIGH SCHOOL,Downey,Los Angeles,167,91,37
WASCO UNION HIGH SCHOOL,Wasco,Kern,59,43,16
WASHINGTON HIGH SCHOOL,Fremont,Alameda,156,100,60
WASHINGTON UNION HIGH SCHOOL,Fresno,Fresno,26,13,5
WATERFORD HIGH SCHOOL,Waterford,Stanislaus,18,10,4
WATSONVILLE HIGH SCHOOL,Watsonville,Santa Cruz,72,43,23
WEBER INST OF APPLIED SCI TECH,Stockton,San Joaquin,14,9,
WEED HIGH SCHOOL,Weed,Siskiyou,5,,
WESM ENVIRONMENTAL AND NATURAL,Los Angeles,Los Angeles,,,
WESM HEALTH & SPORTS MEDICAL HS,Los Angeles,Los Angeles,,,
WESM-AVIATION & AEROSPACE,Los Angeles,Los Angeles,,,
WEST ADAMS PREPARATORY HS,Los Angeles,Los Angeles,89,42,17
WEST CAMPUS HIGH SCHOOL,Sacramento,Sacramento,95,69,33
WEST COVINA HIGH SCHOOL,West Covina,Los Angeles,126,80,34
WEST HIGH SCHOOL,Bakersfield,Kern,53,31,10
WEST HIGH SCHOOL,Torrance,Los Angeles,173,102,60
WEST HILLS HIGH SCHOOL,Santee,San Diego,60,32,19
WEST RANCH HIGH SCHOOL,Valencia,Los Angeles,237,137,66
WEST SHORES HIGH SCHOOL,Thermal,Riverside,7,6,3
WEST VALLEY HIGH SCHOOL,Cottonwood,Shasta,19,11,3
WEST VALLEY HIGH SCHOOL,Hemet,Riverside,82,48,30
WESTCHESTER ENRICHED SCIENCE MAGNET,Los Angeles,Los Angeles,49,20,10
WESTERN CENTER ACADEMY,Hemet,Riverside,34,22,8
WESTERN HIGH SCHOOL,Anaheim,Orange,55,25,11
WESTERN SIERRA COLLEGIATE ACAD,Rocklin,Placer,29,20,14
WESTLAKE HIGH SCHOOL,Westlake Village,Ventura,226,146,70
WESTMINSTER HIGH SCHOOL,Westminster,Orange,143,81,46
WESTMONT HIGH SCHOOL,Campbell,Santa Clara,108,59,34
WESTMOOR HIGH SCHOOL,Daly City,San Mateo,93,53,32
WESTON RANCH HIGH SCHOOL,Stockton,San Joaquin,32,19,11
WESTVIEW HIGH SCHOOL,San Diego,San Diego,299,210,126
WHEATLAND HIGH SCHOOL,Wheatland,Yuba,17,12,10
WHITMORE CHARTER HIGH SCHOOL,Ceres,Stanislaus,,,
WHITNEY HIGH SCHOOL,Rocklin,Placer,95,60,32
WHITTIER HIGH SCHOOL,Whittier,Los Angeles,80,40,18
WILL C WOOD HIGH SCHOOL,Vacaville,Solano,52,32,23
WILLIAM AND MARIAN GHIDOTTI HS,Grass Valley,Nevada,26,17,6
WILLIAM HOWARD TAFT HS,Woodland Hills,Los Angeles,103,51,31
WILLIAM J PETE KNIGHT HIGH SCH,Palmdale,Los Angeles,127,60,29
WILLIAM S HART HIGH SCHOOL,Newhall,Los Angeles,130,65,32
WILLIAMS HIGH SCHOOL,Williams,Colusa,7,5,
WILLITS HIGH SCHOOL,Willits,Mendocino,6,6,4
