School,City,Region,Applied,Admitted,Enrolled
CENTURY ACADEMY,Thousand Oaks,Ventura,,,
CENTURY HIGH SCHOOL,Santa Ana,Orange,100,57,30
CERES HIGH SCHOOL,Ceres,Stanislaus,51,41,25
CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,228,155,98
CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,67,34,12
CESAR CHAVEZ LA ARTES MAGNET,San Fernando,Los Angeles,19,12,7
CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,49,41,19
CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,10,5,
CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,100,67,28
CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,73,35,16
CHAPARRAL HIGH SCHOOL,Temecula,Riverside,150,95,66
CHARTER COMMUNITY SCHOOL,Placerville,El Dorado,,,
CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,47,29,13
CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,56,38,16
CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,12,7,5
CHATSWORTH HIGH SCHOOL,Chatsworth,Los Angeles,57,30,14
CHESTER HIGH SCHOOL,Chester,Plumas,,,
CHICO SENIOR HIGH SCHOOL,Chico,Butte,62,40,16
CHINO HIGH SCHOOL,Chino,San Bernardino,63,32,18
CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,196,129,76
CHOICES CHARTER SCHOOL,Sacramento,Sacramento,,,
CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,30,22,15
CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,79,54,25
CHULA VISTA ADULT SCHOOL,Chula Vista,San Diego,,,
CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,68,50,29
CHULA VISTA SENIOR HIGH SCHOOL,Chula Vista,San Diego,104,52,35
CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,10,7,5
CIS ACADEMY,Pasadena,Los Angeles,,,
CITRUS HILL HIGH SCHOOL,Perris,Riverside,153,95,57
CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,101,61,40
CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,22,14,5
CITY HEIGHTS PREP CHARTER SCHL,San Diego,San Diego,,,
CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,26,13,4
CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,7,4,
CLAIREMONT HIGH SCHOOL,San Diego,San Diego,48,24,13
CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,207,138,68
CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,66,32,18
CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,52,33,23
CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,135,84,52
CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,17,9,4
CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,202,139,72
CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,7,5,
CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,65,45,25
CLOVIS HIGH SCHOOL,Clovis,Fresno,47,38,19
CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,127,76,32
CLOVIS ONLINE SCHOOL,Clovis,Fresno,,,
CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,78,36,20
COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,95,50,23
COALINGA HIGH SCHOOL,Coalinga,Fresno,16,11,7
COAST HIGH SCHOOL,Huntington Beach,Orange,,,
COAST UNION HIGH SCHOOL,Cambria,San Luis Obispo,7,6,
COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,,,
COBALT INSTITUTE MATH/SCIENCE,Victorville,San Bernardino,39,16,8
COLD STREAM ALTERNATIVE SCHOOL,Truckee,Placer,,,
COLEVILLE HIGH SCHOOL,Coleville,Mono,,,
COLFAX HIGH SCHOOL,Colfax,Placer,28,14,6
COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,37,27,15
COLLEGE BRIDGE ACADEMY,Los Angeles,Los Angeles,,,
COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,115,68,32
COLLEGIATE CHARTER HIGH SCHOOL,Los Angeles,Los Angeles,20,13,5
COLONY HIGH SCHOOL,Ontario,San Bernardino,100,54,31
COLTON HIGH SCHOOL,Colton,San Bernardino,60,27,17
COLUSA HIGH SCHOOL,Colusa,Colusa,7,4,
COMMUNITY COLLAB - CALPAC,Newport Beach,Orange,,,
COMMUNITY COLLAB SAGE OAK,Redlands,San Bernardino,,,
COMPASS CHARTER SCHL SAN DIEGO,Thousand Oaks,Ventura,,,
COMPASS CHARTER SCHLS OF LA,Thousand Oaks,Ventura,,,
COMPTON EARLY COLLEGE HIGH SCH,Compton,Los Angeles,47,23,14
COMPTON SENIOR HIGH SCHOOL,Compton,Los Angeles,79,36,19
CONCORD HIGH SCHOOL,Concord,Contra Costa,71,42,23
CONDOR HIGH SCHOOL,Oxnard,Ventura,,,
CONNECTING WATERS - EAST BAY,Waterford,Stanislaus,,,
CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,9,5,
CONSERVATORY VOCAL/INSTRM ARTS,Oakland,Alameda,,,
CONTRA COSTA SCH PRFRMING ARTS,Walnut Creek,Contra Costa,,,
CORCORAN HIGH SCHOOL,Corcoran,Kings,32,18,
CORDOVA HIGH SCHOOL,Rancho Cordova,Sacramento,34,25,11
CORE BUTTE CHARTER SCHOOL,Chico,Butte,,,
CORE CHARTER SCHOOL,Marysville,Yuba,,,
CORE PLACER CHARTER SCHOOL,Colfax,Placer,,,
CORNING UNION HIGH SCHOOL,Corning,Tehama,13,7,3
CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,203,113,53
