Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
211,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,.333,0.4,1.7,.250,0.3,0.4,.667,.433,0.1,0.3,.500,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,hodgedm01
212,Aaron Holiday,PG,27,HOU,59,1,16.7,2.4,5.4,.453,1.2,2.9,.414,1.2,2.5,.497,.563,0.7,0.8,.889,0.3,1.4,1.7,1.8,0.5,0.1,0.8,1.6,6.7,holidaa01
213,Jrue Holiday,PG,33,BOS,56,56,33.1,4.9,10.2,.482,2.0,4.6,.445,2.9,5.6,.511,.581,1.0,1.2,.824,1.3,4.3,5.6,4.8,0.9,0.7,1.9,1.6,12.9,holidjr01
214,Justin Holiday,SG,34,DEN,38,9,14.4,1.5,3.2,.463,0.9,2.3,.407,0.6,0.9,.600,.607,0.1,0.1,.750,0.2,1.1,1.2,1.0,0.6,0.1,0.2,1.2,3.9,holidju01
215,Richaun Holmes,C-PF,30,TOT,32,2,10.8,1.6,2.9,.553,0.0,0.0,1.000,1.6,2.9,.548,.559,0.6,0.9,.643,1.4,1.9,3.3,0.6,0.2,0.4,0.5,1.5,3.8,holmeri01
215,Richaun Holmes,C,30,DAL,23,2,10.3,1.4,2.6,.559,0.0,0.0,,1.4,2.6,.559,.559,0.5,0.9,.571,1.4,2.0,3.4,0.7,0.1,0.4,0.5,1.4,3.4,holmeri01
215,Richaun Holmes,PF,30,WAS,9,0,12.2,2.1,3.9,.543,0.1,0.1,1.000,2.0,3.8,.529,.557,0.7,0.8,.857,1.2,1.9,3.1,0.3,0.4,0.3,0.4,1.6,5.0,holmeri01
216,Chet Holmgren,C,21,OKC,62,62,30.2,6.4,11.9,.543,1.7,4.3,.393,4.7,7.5,.628,.614,2.6,3.3,.786,1.6,6.2,7.9,2.7,0.7,2.5,1.6,2.5,17.2,holmgch01
217,Jalen Hood-Schifino,SG,20,LAL,21,0,5.2,0.5,2.1,.222,0.1,0.7,.133,0.4,1.4,.267,.244,0.6,1.0,.600,0.1,0.5,0.6,0.4,0.1,0.1,0.4,0.6,1.6,hoodsja01
218,Al Horford,C,37,BOS,51,23,26.7,3.0,6.1,.494,1.5,3.8,.402,1.5,2.3,.644,.619,0.3,0.4,.850,1.3,5.3,6.6,2.7,0.5,1.0,0.7,1.5,7.9,horfoal01
219,Talen Horton-Tucker,PG,23,UTA,40,11,19.9,3.6,9.0,.402,1.1,3.4,.331,2.5,5.6,.444,.464,1.8,2.3,.800,0.5,2.1,2.6,3.8,0.9,0.4,1.4,1.9,10.2,hortota01
220,Danuel House Jr.,SF,30,PHI,34,4,15.0,1.4,3.1,.448,0.4,1.5,.300,0.9,1.6,.582,.519,1.0,1.4,.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2,houseda01
221,Caleb Houstan,SF,21,ORL,46,9,14.6,1.5,3.7,.398,1.3,3.5,.381,0.2,0.2,.636,.576,0.4,0.5,.773,0.5,1.1,1.6,0.6,0.3,0.1,0.3,1.1,4.7,houstca01
222,Jett Howard,SF,20,ORL,13,0,3.8,0.6,1.7,.364,0.4,1.3,.294,0.2,0.4,.600,.477,0.2,0.3,.500,0.1,0.3,0.4,0.2,0.0,0.1,0.2,0.2,1.8,howarje01
223,Kevin Huerter,SG,25,SAC,59,54,25.1,4.1,9.1,.450,2.0,5.5,.369,2.1,3.6,.576,.563,0.6,0.8,.766,0.6,3.0,3.6,2.6,0.6,0.4,0.8,2.1,10.8,huertke01
224,Jay Huff,C,25,DEN,12,0,2.8,0.5,0.9,.545,0.3,0.7,.375,0.3,0.3,1.000,.682,0.2,0.2,1.000,0.1,0.7,0.8,0.1,0.1,0.0,0.1,0.6,1.4,huffja01
225,De'Andre Hunter,SF,26,ATL,38,24,28.1,5.2,10.7,.484,2.0,4.7,.424,3.2,6.1,.530,.576,3.1,3.6,.869,0.6,3.2,3.8,1.3,0.8,0.3,1.3,2.7,15.5,huntede01
226,Matthew Hurt,PF,23,MEM,8,0,14.1,1.5,4.3,.353,0.6,2.5,.250,0.9,1.8,.500,.426,0.4,0.4,1.000,1.1,0.9,2.0,0.5,0.4,0.4,0.3,1.0,4.0,hurtma01
227,Bones Hyland,PG,23,LAC,23,2,13.2,2.2,6.1,.357,0.9,3.1,.292,1.3,3.0,.426,.432,0.4,0.5,.833,0.1,0.7,0.8,1.9,0.4,0.1,1.1,1.3,5.7,hylanbo01
228,Joe Ingles,SF,36,ORL,49,0,17.2,1.5,3.7,.411,1.0,2.5,.407,0.5,1.2,.421,.550,0.4,0.4,.857,0.3,1.8,2.2,3.0,0.6,0.1,0.9,1.4,4.4,inglejo01
229,Brandon Ingram,SF,26,NOP,56,56,33.2,8.1,16.4,.492,1.4,3.9,.359,6.7,12.5,.534,.535,4.1,5.1,.806,0.7,4.3,5.0,5.8,0.8,0.6,2.6,2.3,21.7,ingrabr01
230,Kyrie Irving,SG,31,DAL,40,40,34.3,9.7,19.9,.490,3.0,7.2,.420,6.7,12.7,.530,.565,3.2,3.6,.896,0.8,4.4,5.1,5.0,1.2,0.5,1.6,1.9,25.7,irvinky01
231,Jonathan Isaac,PF,26,ORL,42,1,14.8,2.3,4.7,.490,0.5,1.6,.309,1.8,3.0,.586,.543,1.1,1.5,.708,1.2,3.0,4.2,0.5,0.7,1.1,0.5,1.0,6.2,isaacjo01
232,Jaden Ivey,SG,21,DET,57,41,27.9,5.3,11.9,.441,1.5,4.4,.335,3.8,7.5,.503,.503,3.1,4.1,.747,1.2,2.3,3.5,3.6,0.7,0.6,2.4,2.8,15.1,iveyja01
233,Andre Jackson Jr.,SG,22,MIL,48,8,10.5,1.0,1.8,.523,0.3,0.8,.375,0.6,1.0,.646,.608,0.2,0.2,.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.7,2.4,jacksan01
234,GG Jackson II,PF,19,MEM,30,1,20.7,3.8,9.0,.421,1.6,4.5,.366,2.2,4.6,.474,.511,1.8,2.6,.705,1.0,2.5,3.5,0.7,0.5,0.6,1.1,1.1,11.1,jacksgg01
235,Isaiah Jackson,C,22,IND,46,3,13.7,2.8,4.3,.662,0.0,0.1,.000,2.8,4.2,.675,.662,1.3,1.9,.709,1.6,2.6,4.2,0.9,0.6,1.1,0.8,2.5,7.0,jacksis01
236,Jaren Jackson Jr.,C,24,MEM,55,55,32.0,7.8,17.5,.445,1.9,5.7,.324,5.9,11.7,.504,.498,5.2,6.4,.817,1.2,4.4,5.6,2.1,1.1,1.6,2.4,3.5,22.6,jacksja02
237,Justin Jackson,SF,28,MIN,2,0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jacksju01
238,Reggie Jackson,PG,33,DEN,62,16,22.7,4.1,9.2,.446,1.2,3.4,.354,2.9,5.8,.500,.511,0.8,1.1,.776,0.4,1.6,2.0,3.8,0.5,0.1,1.3,1.8,10.2,jacksre01
239,Trayce Jackson-Davis,PF,23,GSW,48,3,13.2,2.9,4.1,.697,0.0,0.0,,2.9,4.1,.697,.697,1.0,1.8,.576,1.7,2.4,4.1,0.9,0.3,0.9,0.6,1.6,6.8,jackstr02
240,LeBron James,PF,39,LAL,56,56,35.0,9.6,18.1,.528,2.2,5.4,.405,7.4,12.7,.580,.588,4.0,5.4,.741,0.8,6.2,7.1,8.0,1.3,0.6,3.2,1.2,25.3,jamesle01
241,Jaime Jaquez Jr.,SF,22,MIA,55,17,29.5,4.9,10.0,.493,0.9,2.8,.320,4.0,7.2,.559,.537,2.0,2.4,.812,1.3,2.7,4.0,2.6,1.1,0.2,1.6,2.3,12.7,jaqueja01
